,street_name,amenity_type,count
513,Calle 12,hospital,1
514,Calle 12,restaurant,1
515,Calle 11A,doctors,1
516,Calle 11,restaurant,1
517,Calle 11,community_centre,1
518,Calle 11,hospital,1
519,Calle 103 c,place_of_worship,1
520,Calle 10,community_centre,1
521,Calle 10,bar,1
522,Calle 1 A,place_of_worship,1
523,Calle 1,community_centre,1
524,Cadetes Argentinos,fuel,1
525,C. Manuel Agustín Aguirre,school,1
526,Brasil,restaurant,1
527,Boyaca,pharmacy,2
528,Bloco H,parking_entrance,2
529,Bloco B,parking_entrance,1
530,Blend Apartments & Brookfield Store,fast_food,1
531,Beco da Coruja,school,1
532,Basilea,restaurant,1
533,Azuay,public_building,1
534,Aviador Acevedo,restaurant,1
535,Avenue Montravel,parking,1
536,Avenida del Sol,parking_space,1
537,Avenida Wiracocha,bus_station,1
538,Avenida Vila Olímpica,police,1
539,Avenida Uncia,bus_station,2
540,Avenida Ulpiano Palacios,water_point,1
541,Avenida Tamanaco,hospital,1
542,Avenida Siqueira Campos,car_wash,1
543,Avenida Silala,bus_station,1
544,Avenida Santa Rosa,drinking_water,1
545,Avenida Sajama,bus_station,2
546,Avenida Río Parapeti,bus_station,3
547,Avenida Río Caine,bus_station,2
548,Avenida Pueblo Belén,bus_station,2
549,Avenida Presidente Costa e Silva,ferry_terminal,1
550,Avenida París,bus_station,1
551,Avenida Papa Inocencio III,bus_station,1
552,Avenida Mártires de la Democracia,bus_station,2
553,Avenida Moises Gomes Perera,ferry_terminal,1
554,Avenida Miguel Grau,police,1
555,Avenida Michel,grit_bin,1
556,Avenida Martín Cárdena,bus_station,2
557,Avenida Marcelo Quiroga Santa Cruz,bus_station,1
558,Avenida Machala,bank,1
559,Avenida Los Ángeles,bus_station,2
560,Avenida La Joya,bus_station,2
561,Avenida Juan A. Maza - Costanera,bicycle_parking,1
562,Avenida Joaquim Luiz Diniz,fuel,1
563,Avenida Inglaterra,bus_station,2
564,Avenida Inca Camacho,bus_station,1
565,Avenida Humberto Asín Rivero,bus_station,2
566,Avenida Gualberto Villarroel,bus_station,2
567,Avenida Gonçalves Maia,clinic,1
568,Avenida Goiás,fuel,1
569,Avenida Gerónimo de Osorio,bus_station,1
570,Avenida Franz Tamayo,bus_station,2
571,Avenida Engenheiro José Salles,parking_entrance,2
572,Avenida Elia Liut,parking_entrance,1
573,Avenida Dr. Marcionilo Alves,ferry_terminal,1
574,Avenida Desembargador Amaral,ferry_terminal,1
575,Avenida Cuenca Madre de Dios,bus_station,1
576,Avenida Chaco,bus_station,1
577,Avenida Benjo Cruz,bus_station,3
578,Avenida Beira Mar,bar,1
579,Avenida Batalla de la Florida,bus_station,2
580,Avenida Barqueiro Lourenço,ferry_terminal,1
581,Avenida Autonomía,bus_station,1
582,Avenida Arturo Prat,ferry_terminal,1
583,Avenida Arquímedes,bus_station,2
584,Avenida Antônio Gonçalves de Oliveira,bus_station,1
585,Avenida 6 de Diciembre,bicycle_rental,1
586,Avenida 6,hospital,1
587,Avenida 17 NE,restaurant,1
588,Avenida 12 de Janeiro,car_wash,1
589,Av. Portoviejo,place_of_worship,1
590,Arévalo,restaurant,1
591,Arturo Prat,fire_station,1
592,Artigas,clinic,1
593,Angamos,school,1
594,Andrea II,parking,1
595,Amigorena,taxi,1
596,Ambrosio Acosta,fast_food,1
597,Amado Nervo,parking_entrance,1
598,Alto de la Luna,taxi,1
599,Alférez Sánchez,ferry_terminal,1
600,Alamos,restaurant,1
601,Alameda Flor do Amor,parking,1
602,Alameda Fernão Cardim,taxi,1
603,Agrupación Residencial Durango,fast_food,1
604,Acesso para Avenida Vale dos Barris,bank,1
605,Acesso Balsa,ferry_terminal,1
606,Acesso - Espaço Eventos Sítio Barba de Bode,restaurant,1
607,Abraham Lincoln,cafe,1
608,Abelardo Flores,place_of_worship,1
609,9 de Julio,veterinary,1
610,763 - De los Claveles,school,1
611,4 de Enero,school,1
612,1ª Av. de Los Palos Grandes,parking_entrance,1
613,12 de Febrero,bank,1
614,10 de agosto,place_of_worship,1
